District,Name of Municipalities,Numbers of Wards
Achham,Mangalsen,14
Achham,Panchadewal Binayak,9
Achham,Sanphebagar,14
Achham,Kamalbazar,10
Arghakhanchi,Sandhikharka,12
Arghakhanchi,Sitganga,14
Arghakhanchi,Bhumikasthan,10
Baglung,Baglung,14
Baglung,Galkot,11
Baglung,Dhorpatan,9
Baglung,Jaimini,10
Baitadi,Puchaudi,10
Baitadi,Dasharathchand,11
Baitadi,Patan,10
Baitadi,Melauli,9
Bajhang,Bungal,11
Bajhang,Jaya Prithvi,11
Bajura,Budhiganga,10
Bajura,Budhinanda,10
Bajura,Badimalika,9
Bajura,Tribeni,9
Banke,Kohalpur,15
Bara,Mahagadhimai,11
Bara,Simraungadh,11
Bara,Kolhabi,11
Bara,Pacharauta,9
Bara,Nijgadh,13
Bardiya,Gulariya,12
Bardiya,Barbardiya,11
Bardiya,Bansgadhi,9
Bardiya,Rajapur,10
Bardiya,Madhuwan,9
Bardiya,Thakurbaba,9
Bhaktapur,Suryabinayak,10
Bhaktapur,Madhyapur Thimi,9
Bhaktapur,Changunarayan,9
Bhaktapur,Bhaktapur,10
Bhojpur,Shadananda,14
Bhojpur,Bhojpur,12
Chitwan,Ratnanagar,16
Chitwan,Khairhani,13
Chitwan,Rapti,13
Chitwan,Kalika,11
Chitwan,Madi,9
Dadeldhura,Parshuram,12
Dadeldhura,Amargadhi,11
Dailekh,Dullu,13
Dailekh,Aathabis,9
Dailekh,Chamunda Bindrasaini,9
Dailekh,Narayan,11
Dang,Lamahi,9
Darchula,Mahakali,9
Darchula,Shailyashikhar,9
Dhading,Nilkantha,14
Dhading,Dhunibeshi,9
Dhankuta,Dhankuta,10
Dhankuta,Mahalaxmi,9
Dhankuta,Pakhribas,10
Dhanusa,Mithila Bihari,10
Dhanusha,Sabaila,13
Dhanusha,Shahidnagar,9
Dhanusha,Dhanushadham,9
Dhanusha,Chhireshwarnath,10
Dhanusha,Mithila,11
Dhanusha,Hansapur,9
Dhanusha,Kamala,9
Dhanusha,Ganeshman Charanath,11
Dhanusha,Nagarain,9
Dhanusha,Bideha,9
Dolakha,Bhimeshwar,9
Dolakha,Jiri,9
Dolpa,Tripura Sundari,11
Dolpa,Thuli Bheri,11
Doti,Dipayal Silgadhi,9
Doti,Shikhar,11
Gorkha,Gorkha,14
Gorkha,Palungtar,10
Gulmi,Resunga,14
Gulmi,Musikot,9
Ilam,Suryodaya,14
Ilam,Ilam,10
Ilam,Deumai,9
Ilam,Mai,10
Jajarkot,Bheri,13
Jajarkot,Chhedagad,13
Jajarkot,Nalgad,13
Jhapa,Mechinagar,15
Jhapa,Birtamod,10
Jhapa,Damak,10
Jhapa,Arjundhara,11
Jhapa,Shivasatakshi,11
Jhapa,Bhadrapur,10
Jhapa,Gauradaha,9
Jhapa,Kankai,9
Jumla,Chandannath,10
Kailali,Godawari,12
Kailali,Lamki Chuha,10
Kailali,Tikapur,9
Kailali,Ghodaghodi,12
